t,x1,x2,x3
0.0,1.5,-1.5,25.0
0.0002,1.494,-1.426362372300731,25.071133645546276
0.0004,1.4881592752553985,-1.4842180520148431,25.08453195583794
0.0006,1.482214520600858,-1.5009169781676925,25.066909969948856
0.0008,1.476248257603321,-1.5248085399452393,25.006992662092077
0.001,1.4702461440082237,-1.5791903644792822,24.932569769140652
0.0012,1.4641472709912486,-1.5520946846892965,24.89079382783973
0.0014,1.4581147870798876,-1.5428179414625744,24.950798471504665
0.0016,1.4521129216228026,-1.5426666009283032,24.96413349313732
0.0018,1.4461233625777004,-1.5178904011757377,25.059574367281204
0.002,1.4401953350501935,-1.508231558222791,25.05124511627021
0.0022,1.4342984812636475,-1.5113619630742494,25.06221067898395
0.0024,1.4284071603749717,-1.4245922603469172,25.1012550489703
0.0026,1.4227011615335279,-1.4264710856612173,25.14581055673832
0.0028,1.4170028170391384,-1.494524413719213,25.149823352314613
0.003,1.4111797625776217,-1.4426560205458023,25.165069087768824
0.0032,1.405472091011375,-1.438726888101451,25.131732842726965
0.0034,1.3997836930531493,-1.4041811437177347,25.06408337271193
0.0036,1.3941757633796075,-1.5298364378624427,25.157867849671558
0.0038,1.3883277389771234,-1.5463505974145138,25.150236722364287
0.004,1.3824583823043401,-1.5721568072047896,25.149198755488325
0.0042,1.376549151925322,-1.5256668573123293,25.146542408493442
0.0044,1.3707447199068465,-1.4609997466119227,25.17312707057735
0.0046,1.365081230973809,-1.4356674984376188,25.124471128899078
0.0048,1.3594797335149862,-1.4230611169170735,25.132700863779107
0.005,1.353914651814122,-1.3560206766022274,25.181721727251837
0.0052,1.3484947811572894,-1.4263059307654922,25.09181248414647
0.0054,1.3429451797334437,-1.3872449653009822,25.096695076215532
0.0056,1.337484799443375,-1.460248180707735,25.099850391491504
0.0058,1.3318893334830728,-1.4647524872578588,25.07414604359033
0.006,1.326296049841591,-1.4136289349227322,25.076754021524945
0.0062,1.3208161998720624,-1.4213078241961967,25.071387751262957
0.0064,1.315331951823926,-1.3570233474036695,25.071901798116286
0.0066,1.3099872412254707,-1.4196608086985814,25.08299128104994
0.0068,1.3045279451256226,-1.3942895556337995,25.099692105662587
0.007,1.2991303101241038,-1.4065535943913245,25.024436273187522
0.0072,1.293718942315073,-1.4457897872348415,24.975025009063614
0.0074,1.2882399248559733,-1.4732756927056552,24.937529758236696
0.0076,1.28271689362085,-1.43825483622876,24.907121263084626
0.0078,1.2772749501611507,-1.418298027844227,24.948551997284543
0.008,1.27188380420514,-1.3739868322327,24.95258338517957
0.0082,1.2665920629322642,-1.314918587475073,24.972088334658203
0.0084,1.2614290416314495,-1.3657754930525319,24.923635683821548
0.0086,1.2561746325620815,-1.2520878867795742,24.84971232789391
0.0088,1.2511581075233982,-1.286435676477643,24.847383935456083
0.009,1.2460829199553962,-1.3417876658532342,24.831933963952995
0.0092,1.2409071787837789,-1.3345244710269264,24.79370704244461
0.0094,1.2357563154841575,-1.3888319147383397,24.659125452965807
0.0096,1.2305071390237126,-1.3341381288281184,24.656881518871497
0.0098,1.225377848488009,-1.3466974631627657,24.604402217087497
0.01,1.2202336978647073,-1.2661591805565726,24.61889752735982
0.0102,1.2152609121078646,-1.2593898289523147,24.676728446710374
0.0104,1.2103116106257443,-1.3220955236707939,24.692014054855388
0.0106,1.2052467963571512,-1.3796623027526673,24.65344684700749
0.0108,1.2000769781589316,-1.447787810933832,24.66545822562345
0.011,1.194781248580746,-1.3898248900908146,24.683087225484705
0.0112,1.1896120363034028,-1.3981369668941936,24.628560260211472
0.0114,1.1844365382970077,-1.391764352517636,24.56637623144614
0.0116,1.1792841365153783,-1.4204723144549605,24.527646279392798
0.0118,1.1740846236134377,-1.3524315189092089,24.61789781918463
0.012,1.1690315913283924,-1.281144171815683,24.630666493123947
0.0122,1.1641312398021042,-1.326600372433271,24.531503896864226
0.0124,1.1591497765776335,-1.3524629614500148,24.569184454299855
0.0126,1.1541265511015781,-1.318219196067241,24.54407015186232
0.0128,1.1491818596072405,-1.3436125457040244,24.51073467758229
0.013,1.144196270796618,-1.412919490289615,24.439945331308284
0.0132,1.1390820392744456,-1.405878453518001,24.414715254216766
0.0134,1.1339921182888608,-1.4074562893392875,24.47467959048508
0.0136,1.1289092214736045,-1.3556521749323949,24.411566593760806
0.0138,1.1239400986807926,-1.3004987534720032,24.439177645129767
0.014,1.119091220976487,-1.2938116387048408,24.375227819453496
0.0142,1.1142654152571243,-1.2984233085734276,24.380020748435747
0.0144,1.1094400378094633,-1.2878996766926796,24.307583624886902
0.0146,1.104645358380459,-1.2698669794290995,24.31270713594546
0.0148,1.0998963337048397,-1.2248033024072846,24.289071987849827
0.015,1.0952469344326154,-1.2501470367116065,24.30841926912527
0.0152,1.090556146490327,-1.283093955305494,24.294423645910776
0.0154,1.0858088462867355,-1.2549899295275408,24.311903001586874
0.0156,1.081127248735107,-1.1665951710279907,24.274501133547584
0.0158,1.0766318038955807,-1.2718464068499897,24.18075291565208
0.016,1.0719348474740895,-1.360011263417263,24.156419605286217
0.0162,1.0670709552523068,-1.2990833990537936,24.12779953397816
0.0164,1.0623386465436946,-1.292361462507423,24.1056078239731
0.0166,1.0576292463255923,-1.2437453003372512,24.02253540728946
0.0168,1.0530264972322667,-1.267089437468401,24.03948290687772
0.017,1.0483862653628653,-1.2289837082804702,23.95980776503261
0.0172,1.0438315254155786,-1.2655761890377761,23.930484630046678
0.0174,1.039212709986672,-1.2284617202483687,23.967520695295715
0.0176,1.034677361126202,-1.2238548288119082,23.972448827702166
0.0178,1.0301602967463257,-1.2701778501187324,23.921177642639535
0.018,1.0255596204525956,-1.2470265366328697,23.86721793455615
0.0182,1.0210144481384247,-1.283623127615887,23.903916056589587
0.0184,1.0164051729869161,-1.2758284586790651,23.867823191168984
0.0186,1.0118207057235842,-1.2291279727454159,23.815772373487032
0.0188,1.0073388083666461,-1.1938488985816247,23.74004321821259
0.019,1.0029364329527497,-1.2511870913698107,23.796280699990984
0.0192,0.9984281859041046,-1.2545385046018234,23.766863090908505
0.0194,0.9939222525230927,-1.2802717845282046,23.686260707124923
0.0196,0.9893738644489902,-1.284908248092643,23.67686535703879
0.0198,0.9848253002239069,-1.2503098897831222,23.642405297834255
0.02,0.9803550298438929,-1.231978358648309,23.555733806526522
0.0202,0.9759303630669085,-1.2560092788948998,23.521862888244026
0.0204,0.9714664837829848,-1.26558907770799,23.46480861296654
0.0206,0.9669923726600029,-1.2286018754278334,23.462958260803887
0.0208,0.9626011841638273,-1.2685821017287569,23.42026796072551
0.021,0.9581388175920421,-1.2483219021053402,23.347989453044732
0.0212,0.9537258961526474,-1.2624154510319474,23.34088040821645
0.0214,0.9492936134582782,-1.2256680564112614,23.311923824906245
0.0216,0.9449436901185391,-1.16080724757796,23.350163403037268
0.0218,0.9407321882431461,-1.1166436873358765,23.30352293564575
0.022,0.936617436491988,-1.0624070575829665,23.30627549068958
0.0222,0.9326193875038381,-1.0706087234692558,23.291319941969153
0.0224,0.9286129312818919,-1.0214872544626565,23.252656297033493
0.0226,0.9247127309104028,-1.0756924887882633,23.28039096251468
0.0228,0.9207119204710055,-1.0515087669288719,23.284160224409348
0.023,0.9167674790962057,-1.0548466811773172,23.247033983504135
0.0232,0.9128242507756587,-1.0702064521126675,23.253693929522488
0.0234,0.9088581893698819,-1.1297105056374737,23.281092619688586
0.0236,0.9047810519798672,-1.1592045135815388,23.290456730834837
0.0238,0.9006530808487444,-1.1413920069881396,23.234863082800384
0.024,0.8965689906730706,-1.048468800926592,23.168168219988175
0.0242,0.8926789150898713,-1.0755701066481187,23.1476721001057
0.0244,0.8887424170463952,-1.0861596257347117,23.215730226907276
0.0246,0.884792612960833,-1.1260568753203755,23.147953684573537
0.0248,0.8807709139842707,-1.1251788332304706,23.157950236333853
0.025,0.8767590144898412,-1.085502366896773,23.149450890758615
0.0252,0.872834491727068,-1.1294346799335444,23.132657101096793
0.0254,0.8688299533837468,-1.1665695654500425,23.099111847627462
0.0256,0.8647591543460792,-1.1637458890720322,23.093891526374183
0.0258,0.860702144259243,-1.2207277236212495,23.10984431228152
0.026,0.856539284523482,-1.2502738469855805,23.12648107021574
0.0262,0.8523256582604639,-1.2673698866504577,23.07289805538353
0.0264,0.8480862671706421,-1.278271051765829,23.105742282032953
0.0266,0.8438335525327691,-1.2470199361702863,23.067156239884916
0.0268,0.839651845555363,-1.2066380402531933,23.069711360453333
0.027,0.835559265783746,-1.2640259666432898,22.952011819914002
0.0272,0.8313600953188919,-1.2702432062859212,22.963105072248066
0.0274,0.8271568887156822,-1.2879158213111603,22.957092415028573
0.0276,0.8229267432956285,-1.2242566917115776,22.895002493695632
0.0278,0.8188323764256141,-1.2017029573209235,22.943634183901132
0.028,0.814791305758121,-1.2105089602810644,22.92389759815268
0.0282,0.8107407052260426,-1.2147034674924773,22.90404110346768
0.0284,0.8066898168806055,-1.1799351112818262,22.938175278698154
0.0286,0.8027165670242806,-1.1071284785598365,22.875770798247228
0.0288,0.7988968769331124,-1.1388557117873146,22.908490138589684
0.029,0.7950213717556714,-1.1520379718023874,22.90421237380333
0.0292,0.7911272530685554,-1.2089668457960252,23.004695081562
0.0294,0.7871270648708262,-1.2692596317335618,22.94966831839168
0.0296,0.7830142914776174,-1.2078840546154572,22.8671193454796
0.0298,0.7790324947854312,-1.2096771152414547,22.791031745189922
0.03,0.7750550755653774,-1.1956852617521128,22.7450705211844
0.0302,0.7711135948907424,-1.1713934063393816,22.656526454995003
0.0304,0.7672285808882822,-1.1962576474870965,22.632238401317625
0.0306,0.7633016084315314,-1.1826556565165935,22.676152196770467
0.0308,0.759409693901635,-1.2052757077623837,22.66291011778621
0.031,0.755480323098307,-1.2412844294312768,22.675767109544445
0.0312,0.7514867935932479,-1.2704090717529597,22.7165782958042
0.0314,0.7474430018625555,-1.3213340793475725,22.723805359420705
0.0316,0.7433054477001352,-1.3489404434574646,22.756822086726917
0.0318,0.73912095591782,-1.3906053259133968,22.675244801037735
0.032,0.7348615033541576,-1.335368607532064,22.561043705136008
0.0322,0.7307210431323852,-1.3193632511796376,22.542773238710456
0.0324,0.7266208745437611,-1.323832498481557,22.502885682085115
0.0326,0.7225199677977105,-1.33642135549679,22.453873395395792
0.0328,0.7184020851511215,-1.3173437095591454,22.401116991850508
0.033,0.7143305935617009,-1.3099932499492164,22.320838714757524
0.0332,0.7102819458746791,-1.445132085747673,22.309705477826498
